id,product_name,category,price,quantity,sale_date,customer_age,customer_gender,region,satisfaction_score,is_returned
1,手机,电子产品,5999.99,2,2024-03-15,28,男,北京,5,0
2,电脑,电子产品,8999.00,1,2024-01-20,35,女,上海,4,0
3,T恤,服装,199.00,5,2024-02-10,22,男,广州,3,0
4,牛仔裤,服装,399.00,3,2024-04-05,30,女,深圳,4,0
5,面包,食品,15.00,20,2024-01-08,45,男,杭州,5,0
6,牛奶,食品,25.00,10,2024-03-22,38,女,北京,4,0
7,沙发,家居,2999.00,1,2024-02-28,42,男,上海,5,0
8,台灯,家居,299.00,2,2024-04-12,25,女,广州,3,0
9,小说,图书,45.00,3,2024-01-15,55,男,深圳,4,0
10,教材,图书,89.00,2,2024-03-08,20,女,杭州,5,0
11,手机,电子产品,4599.00,1,2024-02-18,32,男,北京,4,0
12,电脑,电子产品,7999.00,2,2024-04-20,40,女,上海,5,0
13,T恤,服装,159.00,8,2024-01-25,24,男,广州,3,0
14,牛仔裤,服装,499.00,4,2024-03-30,28,女,深圳,4,0
15,面包,食品,18.00,15,2024-02-12,50,男,杭州,5,0
16,牛奶,食品,28.00,12,2024-04-08,35,女,北京,4,0
17,沙发,家居,3499.00,1,2024-01-30,45,男,上海,5,0
18,台灯,家居,199.00,3,2024-03-15,26,女,广州,3,0
19,小说,图书,55.00,4,2024-02-22,58,男,深圳,4,0
20,教材,图书,99.00,3,2024-04-10,21,女,杭州,5,0
